,2011_전체인구,2012_전체인구,2013_전체인구,2014_전체인구,2015_전체인구,2016_전체인구,2017_전체인구,2018_전체인구,2019_전체인구,2020_전체인구,2021_전체인구,2022_전체인구,2023_전체인구
종로구,177419,173148,167867,165344,163822,161922,164257,163026,161869,158996,153789,152211,150453
중구,141567,140807,137990,136227,134329,134409,134593,135633,136488,134635,131787,130785,131793
용산구,259288,255294,251925,249914,247909,245102,244444,245090,245185,244645,237285,233284,227106
성동구,308767,306868,306571,303891,305065,307161,312711,316463,308979,300505,292672,288234,284766
광진구,386673,384269,381439,377375,375180,372104,372298,371063,366972,360109,352627,351252,351180
동대문구,378534,375683,376445,376319,373824,370312,366011,364338,363023,357014,352006,353601,359873
중랑구,428672,423655,421237,423411,418620,415677,412780,408147,402024,399562,391885,390140,387470
성북구,494422,490639,485347,475961,469560,461617,455407,447687,454744,447056,440142,441984,438168
강북구,348740,346493,341921,338410,334426,330704,328002,322915,317695,311569,302563,297702,292977
도봉구,367949,364454,360609,355712,353241,350272,346234,341649,335631,327361,319373,313989,309494
노원구,608062,600829,594027,586056,578221,571212,558075,548160,537303,527032,514946,508014,502925
은평구,498350,505902,508111,503243,502578,495937,491202,487666,484546,484043,477173,470602,470869
서대문구,324529,324733,324067,320861,323105,325871,325028,323080,323171,322952,315659,319554,320629
마포구,398627,393576,391098,395830,398351,390887,385783,386359,385925,381858,378686,375585,375162
양천구,505605,500533,496934,490708,489010,481845,475018,468145,462285,457781,450487,444010,439252
강서구,575846,573794,575236,591653,595691,602104,608255,603611,598273,585901,579768,574638,568826
구로구,458908,454478,452168,457131,454604,449600,441559,438486,439371,432488,421163,418418,415651
금천구,264256,260734,258254,258030,256167,254654,253491,254021,251820,247835,244891,242818,241105
영등포구,439555,426876,421577,421436,417811,406779,402024,403600,400986,407367,400908,398085,397800
동작구,413658,416268,421487,419261,412774,413247,408493,409385,408912,401572,394364,390432,389714
관악구,546350,540520,535128,531960,529031,525607,520929,520040,517334,509803,499449,501226,497883
서초구,439012,439998,446541,454288,451258,451477,445401,438163,435107,429025,416167,408451,412078
강남구,573003,569997,569152,583446,581760,572140,561052,547453,550209,544055,537800,534103,550282
송파구,690466,680150,674955,671794,667480,664946,671173,673507,682741,673926,663965,664514,660025
강동구,500516,492728,487969,481332,463321,448471,440359,431920,440390,463998,466472,464037,463318
