,2011_전체인구,2011_고령인구,2012_전체인구,2012_고령인구,2013_전체인구,2013_고령인구,2014_전체인구,2014_고령인구,2015_전체인구,2015_고령인구,2016_전체인구,2016_고령인구,2017_전체인구,2017_고령인구,2018_전체인구,2018_고령인구,2019_전체인구,2019_고령인구,2020_전체인구,2020_고령인구,2021_전체인구,2021_고령인구,2022_전체인구,2022_고령인구,2023_전체인구,2023_고령인구
종로구,177419,22939,173148,23868,167867,23997,165344,24537,163822,24892,161922,25091,164257,26182,163026,26742,161869,27519,158996,28507,153789,27818,152211,27958,150453,28764
중구,141567,18099,140807,18875,137990,19346,136227,19960,134329,20302,134409,20606,134593,21384,135633,22005,136488,23275,134635,24495,131787,24392,130785,25055,131793,25920
용산구,259288,31837,255294,33027,251925,34017,249914,34896,247909,35715,245102,35915,244444,36882,245090,37640,245185,38791,244645,40247,237285,39070,233284,39037,227106,39747
성동구,308767,32767,306868,34180,306571,35421,303891,36684,305065,38164,307161,39262,312711,41273,316463,42767,308979,43947,300505,45603,292672,46380,288234,47720,284766,49462
광진구,386673,33613,384269,35759,381439,37623,377375,38974,375180,40368,372104,41441,372298,43953,371063,45619,366972,47902,360109,50560,352627,51723,351252,54071,351180,56819
동대문구,378534,44368,375683,46795,376445,49097,376319,50915,373824,52490,370312,53460,366011,55718,364338,57165,363023,59350,357014,61796,352006,62211,353601,64468,359873,67030
중랑구,428672,43745,423655,46476,421237,48998,423411,51995,418620,54095,415677,55914,412780,59262,408147,61830,402024,65164,399562,69447,391885,71682,390140,74920,387470,78955
성북구,494422,55213,490639,58142,485347,60499,475961,62066,469560,63281,461617,64015,455407,66251,447687,67782,454744,70850,447056,73770,440142,74709,441984,77475,438168,80414
강북구,348740,43507,346493,46222,341921,48547,338410,50841,334426,52598,330704,54053,328002,56530,322915,58196,317695,60577,311569,63422,302563,64333,297702,66307,292977,68617
도봉구,367949,39810,364454,42267,360609,44469,355712,46471,353241,48590,350272,50510,346234,53488,341649,55964,335631,58714,327361,62059,319373,64160,313989,66998,309494,70436
노원구,608062,58642,600829,61218,594027,63810,586056,66480,578221,68909,571212,70887,558075,74243,548160,77096,537303,80923,527032,85489,514946,88345,508014,92040,502925,96422
은평구,498350,56595,505902,60776,508111,64328,503243,67002,502578,69753,495937,71457,491202,74559,487666,77420,484546,80738,484043,85187,477173,87241,470602,89650,470869,93817
서대문구,324529,40041,324733,42088,324067,43850,320861,45309,323105,46758,325871,47653,325028,49266,323080,50456,323171,52074,322952,54204,315659,54268,319554,55996,320629,58113
마포구,398627,42610,393576,44283,391098,45758,395830,47360,398351,48598,390887,48303,385783,49615,386359,50833,385925,52429,381858,54331,378686,54582,375585,55914,375162,57895
양천구,505605,41110,500533,43514,496934,46026,490708,48175,489010,50398,481845,52063,475018,55234,468145,58045,462285,61264,457781,65670,450487,68627,444010,72393,439252,76317
강서구,575846,52314,573794,55821,575236,59530,591653,64287,595691,67950,602104,71062,608255,76032,603611,79660,598273,84077,585901,88984,579768,92558,574638,97128,568826,102096
구로구,458908,41992,454478,45252,452168,48027,457131,51187,454604,53719,449600,55705,441559,58794,438486,61801,439371,65779,432488,70198,421163,72611,418418,75890,415651,79984
금천구,264256,25089,260734,26848,258254,28310,258030,29553,256167,31070,254654,32279,253491,34170,254021,35739,251820,37660,247835,39842,244891,41041,242818,42928,241105,45342
영등포구,439555,43891,426876,46237,421577,48065,421436,49829,417811,51481,406779,51844,402024,53981,403600,55673,400986,57872,407367,61688,400908,62516,398085,64810,397800,67509
동작구,413658,44287,416268,47185,421487,50062,419261,52327,412774,53610,413247,55231,408493,57255,409385,59479,408912,62226,401572,65190,394364,66613,390432,68231,389714,70474
관악구,546350,53022,540520,56620,535128,59705,531960,62577,529031,64985,525607,66952,520929,70046,520040,72249,517334,75194,509803,78875,499449,79871,501226,82447,497883,85418
서초구,439012,39035,439998,41763,446541,44674,454288,47469,451258,49280,451477,50984,445401,53205,438163,54751,435107,57136,429025,60169,416167,60678,408451,62347,412078,65661
강남구,573003,47187,569997,50348,569152,53461,583446,57444,581760,60330,572140,61931,561052,65060,547453,67085,550209,71025,544055,75096,537800,78226,534103,81715,550282,86606
송파구,690466,55456,680150,58490,674955,61745,671794,65025,667480,68292,664946,71064,671173,76582,673507,81364,682741,87334,673926,93483,663965,97691,664514,103573,660025,108894
강동구,500516,42256,492728,44941,487969,47812,481332,50253,463321,51935,448471,53195,440359,56161,431920,58770,440390,63452,463998,70019,466472,74070,464037,78340,463318,82984
