date,demand,RRP,min_temperature,max_temperature,solar_exposure,rainfall,school_day,holiday
2015-01-01,99635.03,25.63369643,13.3,26.9,23.6,0,N,Y
2015-01-02,129606.01,33.13898756,15.4,38.8,26.8,0,N,N
2015-01-03,142300.54,34.56485483,20,38.2,26.5,0,N,N
2015-01-04,104330.715,25.00556024,16.3,21.4,25.2,4.2,N,N
2015-01-05,118132.2,26.72417628,15,22,30.7,0,N,N
2015-01-06,130672.485,31.28231073,17.7,26,31.6,0,N,N
2015-01-07,153514.82,48.31230938,18.9,37.4,20.7,0,N,N
2015-01-08,142015.655,49.1172803,23.1,28.2,13.5,19.4,N,N
2015-01-09,121801.155,34.49067545,16.5,18,3.1,1.2,N,N
2015-01-10,103043.66,20.2298249,13.6,21.7,5.6,5.2,N,N
2015-01-11,99865.755,18.23476806,15.6,27.5,29.9,0,N,N
2015-01-12,131261.125,33.69481017,16.1,31.3,31.6,0,N,N
2015-01-13,126527.36,27.53786427,20.2,25.6,4.2,0,N,N
2015-01-14,119741.62,29.01851661,18.3,22.7,15.2,15.8,N,N
2015-01-15,118411.22,30.93653879,15.8,20,14.6,0,N,N
2015-01-16,116690.765,23.01519088,13.1,27.3,30.3,0,N,N
2015-01-17,99371.31,18.99492729,15.9,25,27.5,0,N,N
2015-01-18,97728.75,17.00868088,15.3,19.5,23.4,0,N,N
2015-01-19,116883.15,26.92787619,13.5,23.6,29,0,N,N
2015-01-20,128968.125,23.07807414,13,30.4,19.6,0,N,N
2015-01-21,148702.505,34.44341546,19.7,33.1,25.8,0,N,N
2015-01-22,153232.1,35.2307614,18.7,35.8,23.1,0,N,N
2015-01-23,138095.2,40.60420022,20.2,25,28.6,0,N,N
2015-01-24,116310.59,20.92200015,15.8,26.3,30.3,0,N,N
2015-01-25,97959.46,16.5414177,14.7,22,25.4,0,N,N
2015-01-26,103769.48,16.9360128,11.6,19.8,19.9,1,N,Y
2015-01-27,118393.31,21.2062886,11.7,19.1,17.7,0.6,N,N
2015-01-28,116763.725,17.02383824,13.3,25.4,27,0,N,N
