date,demand,school_day,holiday
2015-01-01,99635.03,N,Y
2015-01-02,129606.01,N,N
2015-01-03,142300.54,N,N
2015-01-04,104330.715,N,N
2015-01-05,118132.2,N,N
2015-01-06,130672.485,N,N
2015-01-07,153514.82,N,N
2015-01-08,142015.655,N,N
2015-01-09,121801.155,N,N
2015-01-10,103043.66,N,N
2015-01-11,99865.755,N,N
2015-01-12,131261.125,N,N
2015-01-13,126527.36,N,N
2015-01-14,119741.62,N,N
2015-01-15,118411.22,N,N
2015-01-16,116690.765,N,N
2015-01-17,99371.31,N,N
2015-01-18,97728.75,N,N
2015-01-19,116883.15,N,N
2015-01-20,128968.125,N,N
2015-01-21,148702.505,N,N
2015-01-22,153232.1,N,N
2015-01-23,138095.2,N,N
2015-01-24,116310.59,N,N
2015-01-25,97959.46,N,N
2015-01-26,103769.48,N,Y
2015-01-27,118393.31,N,N
2015-01-28,116763.725,N,N
2015-01-29,119313.73,Y,N
2015-01-30,121018.15,Y,N
2015-01-31,103822.97,Y,N
2015-02-01,100178.84,Y,N
2015-02-02,118694.16,Y,N
2015-02-03,122880.13,Y,N
2015-02-04,117398.03,Y,N
2015-02-05,122279.425,Y,N
2015-02-06,141837.005,Y,N
2015-02-07,132138.365,Y,N
2015-02-08,112108.215,Y,N
2015-02-09,126813.075,Y,N
2015-02-10,145948.565,Y,N
2015-02-11,149322.85,Y,N
2015-02-12,131376.78,Y,N
2015-02-13,136070.62,Y,N
2015-02-14,119692.025,Y,N
2015-02-15,125287.71,Y,N
2015-02-16,131832.63,Y,N
2015-02-17,127666.01,Y,N
2015-02-18,125972.765,Y,N
2015-02-19,139399.69,Y,N
2015-02-20,139465.675,Y,N
2015-02-21,136283.03,Y,N
2015-02-22,138016.35,Y,N
2015-02-23,135255.815,Y,N
2015-02-24,120263.515,Y,N
2015-02-25,130062.755,Y,N
2015-02-26,131525.855,Y,N
2015-02-27,131069.4,Y,N
2015-02-28,116275.73,Y,N
2015-03-01,103462.78,Y,N
2015-03-02,123301.835,Y,N
2015-03-03,126750.29,Y,N
2015-03-04,120764.185,Y,N
2015-03-05,114967.345,Y,N
2015-03-06,117053.75,Y,N
2015-03-07,108344.575,Y,N
2015-03-08,106348.78,Y,N
2015-03-09,108282.48,Y,Y
2015-03-10,125828.53,Y,N
2015-03-11,124418.415,Y,N
2015-03-12,121683.65,Y,N
2015-03-13,120929.815,Y,N
2015-03-14,108738.82,Y,N
2015-03-15,100170.295,Y,N
2015-03-16,123787.075,Y,N
2015-03-17,125600.86,Y,N
2015-03-18,127975.815,Y,N
2015-03-19,128319.45,Y,N
2015-03-20,119491.32,Y,N
2015-03-21,106754.8,Y,N
2015-03-22,106555.03,Y,N
2015-03-23,122810.05,Y,N
2015-03-24,123234.935,Y,N
2015-03-25,122268.86,Y,N
2015-03-26,121998.2,Y,N
2015-03-27,122346.335,N,N
2015-03-28,112187.715,N,N
2015-03-29,106418.665,N,N
2015-03-30,123061.87,N,N
2015-03-31,125795.325,N,N
2015-04-01,122042.265,N,N
2015-04-02,113838.41,N,N
2015-04-03,98891.06,N,Y
2015-04-04,103999.17,N,Y
2015-04-05,103685.45,N,N
2015-04-06,107383.37,N,Y
2015-04-07,120235.505,N,N
2015-04-08,122129.775,N,N
2015-04-09,123990.76,N,N
2015-04-10,121753.115,N,N
2015-04-11,110034.165,N,N
2015-04-12,103760.225,N,N
2015-04-13,125107.78,N,N
2015-04-14,127793.38,Y,N
2015-04-15,126673.935,Y,N
2015-04-16,126937.94,Y,N
2015-04-17,131031.415,Y,N
2015-04-18,109763.985,Y,N
2015-04-19,107160.54,Y,N
2015-04-20,126696.19,Y,N
2015-04-21,127973.585,Y,N
2015-04-22,128598.495,Y,N
2015-04-23,126483.805,Y,N
2015-04-24,126230.785,Y,N
2015-04-25,111803.625,Y,Y
2015-04-26,108217.82,Y,N
2015-04-27,127855.22,Y,N
2015-04-28,132642.14,Y,N
2015-04-29,132814.615,Y,N
2015-04-30,132669.58,Y,N
2015-05-01,126304.445,Y,N
2015-05-02,108487.975,Y,N
2015-05-03,109233.34,Y,N
2015-05-04,122375.47,Y,N
2015-05-05,123734.865,Y,N
2015-05-06,129121.86,Y,N
2015-05-07,131237.185,Y,N
2015-05-08,131138.73,Y,N
2015-05-09,108377.05,Y,N
2015-05-10,103811.28,Y,N
2015-05-11,123740.245,Y,N
2015-05-12,129312.58,Y,N
2015-05-13,136903.27,Y,N
2015-05-14,135217.65,Y,N
2015-05-15,135172.41,Y,N
2015-05-16,117136.63,Y,N
2015-05-17,111897.085,Y,N
2015-05-18,127524.8,Y,N
2015-05-19,133235.48,Y,N
2015-05-20,127522.71,Y,N
2015-05-21,135361.195,Y,N
2015-05-22,133422.46,Y,N
2015-05-23,119331.85,Y,N
2015-05-24,118783.085,Y,N
2015-05-25,136690.92,Y,N
2015-05-26,140886.995,Y,N
2015-05-27,133103.37,Y,N
2015-05-28,127900.235,Y,N
2015-05-29,132338.94,Y,N
2015-05-30,114669.79,Y,N
2015-05-31,113261.26,Y,N
2015-06-01,140919.995,Y,N
2015-06-02,148534.505,Y,N
2015-06-03,146902.95,Y,N
2015-06-04,147155.265,Y,N
2015-06-05,142625.035,Y,N
2015-06-06,120128.295,Y,N
2015-06-07,109609.685,Y,N
2015-06-08,110715.815,Y,Y
2015-06-09,132854.135,Y,N
2015-06-10,144125.525,Y,N
2015-06-11,143465.445,Y,N
2015-06-12,145005.62,Y,N
2015-06-13,123754.55,Y,N
2015-06-14,119125.62,Y,N
2015-06-15,136054.145,Y,N
2015-06-16,139073.785,Y,N
2015-06-17,134290.46,Y,N
2015-06-18,137073.775,Y,N
2015-06-19,139781.245,Y,N
2015-06-20,129576.36,Y,N
2015-06-21,124910.57,Y,N
2015-06-22,140431.36,Y,N
2015-06-23,133171.4,Y,N
2015-06-24,135407.57,Y,N
2015-06-25,137379.23,Y,N
2015-06-26,135562.075,N,N
2015-06-27,124587.43,N,N
2015-06-28,119277.48,N,N
2015-06-29,139468.155,N,N
2015-06-30,143170.055,N,N
2015-07-01,138931,N,N
2015-07-02,138972.425,N,N
