date,demand,RRP,school_day,holiday
2015-01-01,99635.03,25.63369643,N,Y
2015-01-02,129606.01,33.13898756,N,N
2015-01-03,142300.54,34.56485483,N,N
2015-01-04,104330.715,25.00556024,N,N
2015-01-05,118132.2,26.72417628,N,N
2015-01-06,130672.485,31.28231073,N,N
2015-01-07,153514.82,48.31230938,N,N
2015-01-08,142015.655,49.1172803,N,N
2015-01-09,121801.155,34.49067545,N,N
2015-01-10,103043.66,20.2298249,N,N
2015-01-11,99865.755,18.23476806,N,N
2015-01-12,131261.125,33.69481017,N,N
2015-01-13,126527.36,27.53786427,N,N
2015-01-14,119741.62,29.01851661,N,N
2015-01-15,118411.22,30.93653879,N,N
2015-01-16,116690.765,23.01519088,N,N
2015-01-17,99371.31,18.99492729,N,N
2015-01-18,97728.75,17.00868088,N,N
2015-01-19,116883.15,26.92787619,N,N
2015-01-20,128968.125,23.07807414,N,N
2015-01-21,148702.505,34.44341546,N,N
2015-01-22,153232.1,35.2307614,N,N
2015-01-23,138095.2,40.60420022,N,N
2015-01-24,116310.59,20.92200015,N,N
2015-01-25,97959.46,16.5414177,N,N
2015-01-26,103769.48,16.9360128,N,Y
2015-01-27,118393.31,21.2062886,N,N
2015-01-28,116763.725,17.02383824,N,N
2015-01-29,119313.73,19.62482736,Y,N
2015-01-30,121018.15,21.02935608,Y,N
2015-01-31,103822.97,16.53884673,Y,N
2015-02-01,100178.84,14.57884442,Y,N
2015-02-02,118694.16,22.27003219,Y,N
2015-02-03,122880.13,27.00383233,Y,N
2015-02-04,117398.03,27.8091342,Y,N
2015-02-05,122279.425,31.38457074,Y,N
2015-02-06,141837.005,38.84018027,Y,N
2015-02-07,132138.365,28.76170678,Y,N
2015-02-08,112108.215,23.9741066,Y,N
2015-02-09,126813.075,28.90913471,Y,N
2015-02-10,145948.565,37.52259998,Y,N
2015-02-11,149322.85,32.6554543,Y,N
2015-02-12,131376.78,26.57663494,Y,N
2015-02-13,136070.62,18.73697061,Y,N
2015-02-14,119692.025,20.24010323,Y,N
2015-02-15,125287.71,24.58418694,Y,N
2015-02-16,131832.63,31.9490406,Y,N
2015-02-17,127666.01,30.25014939,Y,N
2015-02-18,125972.765,30.23579275,Y,N
2015-02-19,139399.69,33.59896068,Y,N
2015-02-20,139465.675,33.53867153,Y,N
2015-02-21,136283.03,31.25281984,Y,N
2015-02-22,138016.35,32.40972721,Y,N
2015-02-23,135255.815,28.41722913,Y,N
2015-02-24,120263.515,26.5590119,Y,N
2015-02-25,130062.755,33.32324959,Y,N
2015-02-26,131525.855,39.08657834,Y,N
2015-02-27,131069.4,36.33901155,Y,N
2015-02-28,116275.73,25.14313073,Y,N
2015-03-01,103462.78,24.58614815,Y,N
2015-03-02,123301.835,33.16652623,Y,N
2015-03-03,126750.29,43.73945714,Y,N
2015-03-04,120764.185,37.25248391,Y,N
2015-03-05,114967.345,25.3228281,Y,N
2015-03-06,117053.75,27.75052169,Y,N
2015-03-07,108344.575,22.11321454,Y,N
2015-03-08,106348.78,20.57443413,Y,N
2015-03-09,108282.48,23.80806827,Y,Y
2015-03-10,125828.53,31.76374918,Y,N
2015-03-11,124418.415,33.59649288,Y,N
2015-03-12,121683.65,26.04050589,Y,N
2015-03-13,120929.815,24.19536323,Y,N
2015-03-14,108738.82,17.39452956,Y,N
2015-03-15,100170.295,14.3730994,Y,N
2015-03-16,123787.075,22.66079993,Y,N
2015-03-17,125600.86,21.38556947,Y,N
2015-03-18,127975.815,24.43863773,Y,N
2015-03-19,128319.45,24.56824098,Y,N
2015-03-20,119491.32,24.06816285,Y,N
2015-03-21,106754.8,20.47371461,Y,N
2015-03-22,106555.03,18.91869559,Y,N
2015-03-23,122810.05,26.68562798,Y,N
2015-03-24,123234.935,34.05849946,Y,N
2015-03-25,122268.86,28.54875424,Y,N
2015-03-26,121998.2,21.9713629,Y,N
2015-03-27,122346.335,25.77160038,N,N
2015-03-28,112187.715,29.27136869,N,N
2015-03-29,106418.665,24.67271635,N,N
2015-03-30,123061.87,33.7503627,N,N
2015-03-31,125795.325,31.83656958,N,N
2015-04-01,122042.265,26.16780586,N,N
2015-04-02,113838.41,23.46025058,N,N
2015-04-03,98891.06,20.9393785,N,Y
2015-04-04,103999.17,23.18805617,N,Y
2015-04-05,103685.45,20.50865038,N,N
2015-04-06,107383.37,17.04855264,N,Y
2015-04-07,120235.505,21.35945999,N,N
2015-04-08,122129.775,25.20801652,N,N
2015-04-09,123990.76,25.20780037,N,N
2015-04-10,121753.115,25.6771108,N,N
2015-04-11,110034.165,23.05591231,N,N
2015-04-12,103760.225,22.05303719,N,N
2015-04-13,125107.78,29.40828908,N,N
2015-04-14,127793.38,30.99517563,Y,N
2015-04-15,126673.935,31.09055848,Y,N
2015-04-16,126937.94,40.68150885,Y,N
2015-04-17,131031.415,33.98750482,Y,N
2015-04-18,109763.985,26.14012894,Y,N
2015-04-19,107160.54,24.54069444,Y,N
2015-04-20,126696.19,33.67717583,Y,N
2015-04-21,127973.585,30.4731569,Y,N
2015-04-22,128598.495,36.69528357,Y,N
2015-04-23,126483.805,35.42248474,Y,N
2015-04-24,126230.785,36.4979363,Y,N
2015-04-25,111803.625,25.97830858,Y,Y
2015-04-26,108217.82,28.95541976,Y,N
2015-04-27,127855.22,48.67306836,Y,N
2015-04-28,132642.14,46.2680344,Y,N
2015-04-29,132814.615,39.82982089,Y,N
2015-04-30,132669.58,39.09265231,Y,N
2015-05-01,126304.445,47.4744621,Y,N
2015-05-02,108487.975,25.8520399,Y,N
2015-05-03,109233.34,30.62706307,Y,N
2015-05-04,122375.47,28.80303794,Y,N
2015-05-05,123734.865,27.38334397,Y,N
2015-05-06,129121.86,26.02258938,Y,N
2015-05-07,131237.185,29.08203003,Y,N
2015-05-08,131138.73,29.07560905,Y,N
2015-05-09,108377.05,19.60236047,Y,N
2015-05-10,103811.28,13.27984076,Y,N
2015-05-11,123740.245,28.47548938,Y,N
2015-05-12,129312.58,28.35535897,Y,N
2015-05-13,136903.27,33.6029018,Y,N
2015-05-14,135217.65,36.08497609,Y,N
2015-05-15,135172.41,32.88820189,Y,N
2015-05-16,117136.63,35.11935553,Y,N
2015-05-17,111897.085,30.54759947,Y,N
2015-05-18,127524.8,39.33371288,Y,N
2015-05-19,133235.48,34.03831774,Y,N
2015-05-20,127522.71,30.97608603,Y,N
2015-05-21,135361.195,35.62199843,Y,N
2015-05-22,133422.46,34.61410533,Y,N
2015-05-23,119331.85,31.22698432,Y,N
2015-05-24,118783.085,31.49325856,Y,N
2015-05-25,136690.92,51.61033015,Y,N
2015-05-26,140886.995,46.40181363,Y,N
2015-05-27,133103.37,29.88407137,Y,N
2015-05-28,127900.235,26.09688903,Y,N
2015-05-29,132338.94,29.80358005,Y,N
2015-05-30,114669.79,19.04882579,Y,N
2015-05-31,113261.26,18.57271408,Y,N
2015-06-01,140919.995,36.92812664,Y,N
2015-06-02,148534.505,59.85603338,Y,N
2015-06-03,146902.95,50.5626836,Y,N
2015-06-04,147155.265,33.05028479,Y,N
2015-06-05,142625.035,37.96653889,Y,N
2015-06-06,120128.295,30.18134685,Y,N
2015-06-07,109609.685,23.38038485,Y,N
