Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,58.6875,59.3125,53.65625,55.71875,34.355857849121094,288397200
2000-01-08,56.71875,57.125,50.75,56.125,34.60633087158203,314800000
2000-01-15,55.90625,58.25,51.625,51.875,31.985809326171875,303817800
2000-01-22,51.8984375,52.84375,48.625,49.125,30.290185928344727,294666000
2000-01-29,48.8125,54.0,47.4375,53.28125,32.85289764404297,297857800
2000-02-05,53.40625,55.0,49.5625,49.96875,30.8104248046875,321411600
2000-02-12,50.6171875,50.875,47.4375,47.53125,29.30748748779297,376665200
2000-02-19,47.5625,48.5625,45.25,45.65625,28.151369094848633,277178000
2000-02-26,45.125,49.4375,44.0625,48.0625,29.635038375854492,449826800
2000-03-04,48.0,51.25,45.0625,50.5,31.13798713684082,496748200
2000-03-11,48.8125,50.125,46.625,49.6875,30.637012481689453,346991400
2000-03-18,49.375,57.5,48.25,55.84375,34.432918548583984,483818400
2000-03-25,53.8828125,54.46875,51.1875,53.125,32.75654220581055,385372000
2000-04-01,47.21875,48.25,42.46875,44.53125,27.457700729370117,673285200
2000-04-08,44.3125,44.3125,36.625,37.0625,22.85251235961914,531185000
2000-04-15,37.125,40.96875,36.5,39.46875,24.336193084716797,317669600
2000-04-22,33.625,35.5625,32.5,34.875,21.503711700439453,736006800
2000-04-29,36.4375,37.0,34.40625,35.5625,21.927616119384766,340601400
2000-05-06,35.46875,35.6875,32.875,34.40625,21.21468162536621,260982800
2000-05-13,34.5,35.3125,32.25,32.53125,20.05857276916504,255770600
2000-05-20,32.5625,33.28125,30.1875,30.71875,18.94099998474121,363571400
2000-05-27,31.21875,33.375,31.0,33.15625,20.44393539428711,298475000
2000-06-03,33.0078125,36.0625,33.0,34.40625,21.21468162536621,370205400
2000-06-10,34.5,36.5625,33.0625,36.28125,22.37079620361328,307845400
2000-06-17,36.28125,41.09375,36.0,38.84375,23.950820922851562,406406200
2000-06-24,38.75,40.0625,38.34375,40.0,24.663766860961914,207622800
2000-07-01,39.84375,41.4375,39.125,41.0,25.28035545349121,152585600
2000-07-08,40.34375,40.65625,38.59375,39.46875,24.336193084716797,280248600
2000-07-15,39.125,39.78125,35.9375,36.15625,22.293729782104492,375325800
2000-07-22,36.03125,36.0625,33.625,34.84375,21.48443603515625,355742000
2000-07-29,35.09375,35.5625,34.0625,34.5625,21.311031341552734,258367400
2000-08-05,35.09375,37.4375,34.875,36.21875,22.332258224487305,339341800
2000-08-12,36.15625,36.6875,35.0,35.5,21.889080047607422,229669000
2000-08-19,35.34375,36.21875,34.96875,35.3125,21.773469924926758,220409400
2000-08-26,35.09375,36.375,34.84375,35.09375,21.638591766357422,279525800
2000-09-02,35.0,36.03125,34.59375,34.65625,21.368833541870117,282136800
2000-09-09,34.5625,34.84375,31.65625,32.09375,19.78880500793457,314439400
2000-09-16,32.125,32.875,30.5,31.625,19.49977684020996,349569200
2000-09-23,31.625,32.9375,29.3125,30.15625,18.594161987304688,441758600
2000-09-30,30.25,30.40625,27.25,27.78125,17.129745483398438,423283200
2000-10-07,27.8125,28.46875,26.0625,26.875,16.57096290588379,416336400
2000-10-14,26.75,33.0625,24.21875,32.59375,20.09710121154785,728943800
2000-10-21,32.3125,34.59375,30.09375,33.84375,20.867847442626953,686320600
2000-10-28,33.75,35.421875,33.6875,34.125,21.04126739501953,442537200
2000-11-04,34.34375,36.1875,33.40625,33.6875,20.77151107788086,570135000
2000-11-11,33.34375,35.75,32.203125,34.53125,21.291759490966797,426659800
2000-11-18,34.0625,35.21875,32.78125,34.96875,21.561511993408203,250427200
2000-11-25,35.71875,36.125,28.03125,28.3125,17.457313537597656,618044800
2000-12-02,28.625,30.25,26.125,27.21875,16.782909393310547,538950600
2000-12-09,27.75,30.25,23.875,24.59375,15.16435432434082,445143800
2000-12-16,24.5,25.0,20.15625,23.21875,14.316532135009766,649221800
2000-12-23,23.4375,24.28125,21.5,21.6875,13.37237548828125,313542200
2000-12-30,22.0625,25.25,21.4375,24.5625,15.145092964172363,424187000
2001-01-06,24.46875,27.875,23.34375,26.75,16.493896484375,460580000
2001-01-13,26.6875,30.71875,25.5625,30.5,18.80611228942871,460444200
2001-01-20,30.375,32.15625,29.46875,32.0,19.73100471496582,436160600
2001-01-27,31.78125,32.375,30.1875,30.40625,18.74831199645996,367052200
2001-02-03,30.375,32.53125,29.25,29.5625,18.228057861328125,462519400
2001-02-10,29.40625,30.53125,28.0625,28.65625,17.669265747070312,341674600
2001-02-17,28.6875,29.125,26.9375,28.375,17.495847702026367,318115000
2001-02-24,28.8125,30.59375,28.125,28.34375,17.47658348083496,433276200
2001-03-03,28.625,30.5625,27.4375,28.34375,17.47658348083496,334329400
2001-03-10,27.34375,28.0390625,25.8125,27.28125,16.821453094482422,480585000
2001-03-17,27.25,28.5,24.875,28.28125,17.43804931640625,503730600
2001-03-24,28.5625,29.28125,26.9375,27.34375,16.859989166259766,415122400
2001-03-31,27.40625,28.6875,25.53125,28.09375,17.322433471679688,480144200
2001-04-07,28.28499984741211,31.155000686645508,27.829999923706055,31.09000015258789,19.169906616210938,362894600
2001-04-14,30.700000762939453,35.54999923706055,30.020000457763672,34.5,21.272491455078125,659998200
2001-04-21,34.05500030517578,35.5,33.10499954223633,33.560001373291016,20.69289207458496,498401800
2001-04-28,34.26499938964844,35.57500076293945,33.79999923706055,35.375,21.812013626098633,436747200
2001-05-05,35.415000915527344,36.07500076293945,34.32500076293945,34.70000076293945,21.395811080932617,376580200
2001-05-12,34.564998626708984,35.06999969482422,33.625,34.04499816894531,20.991941452026367,395837600
2001-05-19,34.025001525878906,35.95000076293945,33.875,35.45500183105469,21.861339569091797,414113800
2001-05-26,35.400001525878906,35.875,34.20000076293945,35.16999816894531,21.685604095458984,285982800
2001-06-02,35.275001525878906,36.875,34.900001525878906,36.595001220703125,22.564252853393555,332040600
2001-06-09,36.42499923706055,36.42499923706055,33.20000076293945,34.0099983215332,20.970354080200195,349689400
2001-06-16,33.974998474121094,35.30500030517578,33.005001068115234,34.415000915527344,21.22007942199707,305108400
2001-06-23,34.54999923706055,38.07500076293945,33.849998474121094,36.5,22.505672454833984,404751800
2001-06-30,36.025001525878906,36.57500076293945,32.834999084472656,33.029998779296875,20.366100311279297,217558000
2001-07-07,33.099998474121094,36.025001525878906,32.099998474121094,35.66999816894531,21.993896484375,393874400
2001-07-14,35.724998474121094,36.5,33.970001220703125,34.59000015258789,21.327983856201172,377575600
2001-07-21,34.619998931884766,34.619998931884766,32.525001525878906,32.73500061035156,20.1842041015625,364965000
2001-07-28,32.82500076293945,33.77000045776367,32.77000045776367,33.44499969482422,20.621978759765625,254365800
2001-08-04,33.26499938964844,33.619998931884766,31.450000762939453,32.7599983215332,20.199609756469727,211468400
2001-08-11,32.619998931884766,33.04499816894531,30.75,30.940000534057617,19.07741928100586,204799400
2001-08-18,30.829999923706055,31.600000381469727,29.5,31.024999618530273,19.129823684692383,288802400
2001-08-25,30.950000762939453,31.68000030517578,28.149999618530273,28.524999618530273,17.588336944580078,295688400
2001-09-01,28.594999313354492,29.540000915527344,27.655000686645508,27.700000762939453,17.07965087890625,358880400
2001-09-08,27.459999084472656,28.975000381469727,27.350000381469727,28.790000915527344,17.751747131347656,84471800
2001-09-15,27.010000228881836,27.549999237060547,23.75,24.854999542236328,15.325439453125,640594600
2001-09-22,25.325000762939453,26.5,24.0,25.584999084472656,15.775556564331055,426877600
2001-09-29,25.469999313354492,29.200000762939453,25.204999923706055,28.860000610351562,17.794898986816406,430682000
2001-10-06,28.399999618530273,29.325000762939453,26.5,28.190000534057617,17.38178062438965,393482200
2001-10-13,27.950000762939453,29.649999618530273,27.75,28.950000762939453,17.850393295288086,377884200
2001-10-20,28.950000762939453,31.815000534057617,28.735000610351562,31.100000381469727,19.176067352294922,371617600
2001-10-27,31.049999237060547,31.510000228881836,29.049999237060547,30.700000762939453,18.92943000793457,370256200
2001-11-03,30.93000030517578,33.029998779296875,30.875,32.60499954223633,20.104047775268555,316154000
2001-11-10,32.349998474121094,34.16999816894531,31.825000762939453,32.875,20.270532608032227,343709000
2001-11-17,33.125,33.900001525878906,31.739999771118164,32.35499954223633,19.949892044067383,188466600
2001-11-24,32.494998931884766,32.85499954223633,31.364999771118164,32.10499954223633,19.795740127563477,289607800
2001-12-01,31.915000915527344,34.5,31.899999618530273,33.915000915527344,20.91178321838379,270821600
2001-12-08,33.7599983215332,34.224998474121094,32.96500015258789,33.720001220703125,20.791553497314453,236814000
2001-12-15,33.584999084472656,34.94499969482422,33.310001373291016,33.77000045776367,20.82237434387207,324223800
2001-12-22,33.86000061035156,34.53499984741211,33.599998474121094,33.935001373291016,20.924118041992188,102223400
2001-12-29,33.91999816894531,34.95500183105469,32.755001068115234,34.45000076293945,21.24166488647461,211452400
2002-01-05,34.875,35.310001373291016,34.0,34.30500030517578,21.15225601196289,305839000
2002-01-12,34.150001525878906,35.0,32.709999084472656,33.04999923706055,20.3784236907959,359769000
2002-01-19,33.30500030517578,33.314998626708984,31.6200008392334,31.899999618530273,19.669342041015625,290107400
2002-01-26,32.1150016784668,32.25,30.665000915527344,31.329999923706055,19.317888259887695,299416400
2002-02-02,31.200000762939453,31.344999313354492,29.415000915527344,30.325000762939453,18.698209762573242,327781000
2002-02-09,30.0049991607666,31.4950008392334,29.795000076293945,30.114999771118164,18.568727493286133,257488800
2002-02-16,29.954999923706055,30.18000030517578,28.575000762939453,28.9950008392334,17.87814712524414,233500800
2002-02-23,28.969999313354492,30.709999084472656,28.94499969482422,30.684999465942383,18.920181274414062,311042000
2002-03-02,30.6200008392334,32.349998474121094,30.434999465942383,31.975000381469727,19.71558952331543,296007000
2002-03-09,31.7549991607666,32.5,30.485000610351562,31.2450008392334,19.265478134155273,275419200
2002-03-16,31.3700008392334,31.5,29.915000915527344,30.225000381469727,18.63654899597168,231373200
2002-03-23,30.239999771118164,30.459999084472656,29.155000686645508,30.155000686645508,18.593387603759766,208329200
2002-03-30,29.915000915527344,30.200000762939453,27.709999084472656,27.934999465942383,17.224552154541016,312380600
2002-04-06,27.149999618530273,28.71500015258789,27.1299991607666,27.96500015258789,17.243045806884766,322902400
2002-04-13,28.0,29.139999389648438,26.34000015258789,28.600000381469727,17.63459014892578,333532400
2002-04-20,28.260000228881836,28.350000381469727,25.729999542236328,25.75,15.877296447753906,301034000
